state_name,state_code,county_name,county_code,year,value
SOUTH DAKOTA,46,TURNER,125,2022,13490000
ILLINOIS,17,MERCER,131,2022,30364000
SOUTH DAKOTA,46,CODINGTON,29,2022,15506000
MINNESOTA,27,BIG STONE,11,2022,14962000
ILLINOIS,17,CALHOUN,13,2022,2713000
IOWA,19,DAVIS,51,2022,6196000
KENTUCKY,21,WAYNE,231,2022,1119000
MINNESOTA,27,STEVENS,149,2022,17669000
IOWA,19,JASPER,99,2022,34673000
ILLINOIS,17,VERMILION,183,2022,46410000
NEW YORK,36,NIAGARA,63,2022,4440000
MISSOURI,29,ST CHARLES,183,2022,5400000
IOWA,19,MUSCATINE,139,2022,18604000
NEBRASKA,31,JOHNSON,97,2022,7739000
SOUTH DAKOTA,46,POTTER,107,2022,13608000
INDIANA,18,HUNTINGTON,69,2022,11804000
NORTH CAROLINA,37,TYRRELL,177,2022,3431000
SOUTH DAKOTA,46,CLARK,25,2022,19251000
MINNESOTA,27,MILLE LACS,95,2022,2973000
ARKANSAS,5,WOODRUFF,147,2022,2744000
OHIO,39,MEDINA,103,2022,2177000
MINNESOTA,27,HUBBARD,57,2022,1025000
ARKANSAS,5,ASHLEY,3,2022,5541000
INDIANA,18,TIPPECANOE,157,2022,16503000
OHIO,39,VAN WERT,161,2022,14810000
WISCONSIN,55,CLARK,19,2022,6473000
KANSAS,20,LYON,111,2022,1306000
INDIANA,18,SHELBY,145,2022,17102000
OHIO,39,DELAWARE,41,2022,6150000
IOWA,19,HENRY,87,2022,12946000
ILLINOIS,17,ST CLAIR,163,2022,16362000
MISSOURI,29,CASS,37,2022,3279000
GEORGIA,13,SUMTER,261,2022,3306000
MISSISSIPPI,28,NOXUBEE,103,2022,4337000
TENNESSEE,47,FRANKLIN,51,2022,3274000
NEBRASKA,31,SAUNDERS,155,2022,30309000
INDIANA,18,ELKHART,39,2022,8116000
MARYLAND,24,WORCESTER,47,2022,4654000
ILLINOIS,17,BOND,5,2022,13747000
KANSAS,20,PAWNEE,145,2022,6363000
MINNESOTA,27,DOUGLAS,41,2022,12659000
MISSOURI,29,ST CLAIR,185,2022,1114000
MICHIGAN,26,TUSCOLA,157,2022,12891000
INDIANA,18,JOHNSON,81,2022,6221000
GEORGIA,13,BURKE,33,2022,3512000
MISSOURI,29,SCOTT,201,2022,9605000
OHIO,39,STARK,151,2022,4143000
IOWA,19,VAN BUREN,177,2022,7823000
VIRGINIA,51,SHENANDOAH,171,2022,1711000
OHIO,39,COLUMBIANA,29,2022,3790000
MISSISSIPPI,28,CARROLL,15,2022,1102000
MINNESOTA,27,HENNEPIN,53,2022,1705000
OHIO,39,SHELBY,149,2022,12472000
WASHINGTON,53,FRANKLIN,21,2022,2000000
VIRGINIA,51,SURRY,181,2022,1312000
ILLINOIS,17,KANKAKEE,91,2022,36223000
NORTH DAKOTA,38,TRAILL,97,2022,14188000
NEBRASKA,31,CLAY,35,2022,28424000
MINNESOTA,27,NOBLES,105,2022,38443000
MINNESOTA,27,MCLEOD,85,2022,20937000
MISSISSIPPI,28,QUITMAN,119,2022,1827000
ILLINOIS,17,PEORIA,143,2022,22360000
SOUTH DAKOTA,46,BON HOMME,9,2022,6112000
MICHIGAN,26,HURON,63,2022,12312000
VIRGINIA,51,ACCOMACK,1,2022,3316000
ILLINOIS,17,JASPER,79,2022,18711000
NORTH DAKOTA,38,BARNES,3,2022,14504000
MICHIGAN,26,MUSKEGON,121,2022,1527000
IOWA,19,FLOYD,67,2022,28153000
KANSAS,20,ANDERSON,3,2022,2971000
MISSOURI,29,BUCHANAN,21,2022,9155000
IOWA,19,BUENA VISTA,21,2022,31323000
ILLINOIS,17,SANGAMON,167,2022,43693000
NEBRASKA,31,MADISON,119,2022,21404000
NORTH DAKOTA,38,GRAND FORKS,35,2022,13133000
KANSAS,20,FORD,57,2022,6282000
WISCONSIN,55,DUNN,33,2022,15909000
SOUTH DAKOTA,46,BEADLE,5,2022,22605000
OHIO,39,CARROLL,19,2022,1504000
MICHIGAN,26,MONROE,115,2022,9737000
IOWA,19,CARROLL,27,2022,33993000
